ids,names,rating,review_count,price,transactions,is_closed,type_food,type_food_alias,latitude,longitude,country,state,city,zip_code,purchase,pickup_delivery
vmZ-bgnM5B76NUpegAjy1g,Hotbird,4.5,131,,,False,"Sandwiches, Chicken Shop, Burgers","sandwiches, chickenshop, burgers",37.7768004184036,-122.416263845447,US,CA,San Francisco,94103.0,,
pgjbSwK_8DH2o_zQsr3dRQ,AshYan's Lu Ruo Fan,5.0,4,,,False,"Taiwanese, Food Delivery Services","taiwanese, fooddeliveryservices",37.77713,-122.41963999999999,US,CA,San Francisco,,,
KA-P3d2NcbJy5SQN-vCzPA,Aria Korean Street Food,4.0,891,$$,"['pickup', 'delivery']",False,"Korean, Tapas/Small Plates, Chicken Shop","korean, tapasmallplates, chickenshop",37.78655,-122.41795,US,CA,San Francisco,94109.0,"['pickup', 'delivery']",pickup and delivery
kFgjHGp-cTUK5uPaSJOORA,Souvla,4.0,1418,$$,['delivery'],False,"Greek, Mediterranean","greek, mediterranean",37.77643,-122.425,US,CA,San Francisco,94102.0,['delivery'],only delivery
sk2OH92GwQjFKbguoFWHSw,Uncle Tito,4.0,1,,,False,Filipino,filipino,37.776902,-122.415244,US,CA,San Francisco,94103.0,,
GmHNkpAaypi9jclaLI7sDQ,Fermentation Lab,4.5,292,$$,"['pickup', 'delivery']",False,Gastropubs,gastropubs,37.77852,-122.41561000000002,US,CA,San Francisco,94102.0,"['pickup', 'delivery']",pickup and delivery
kvrQecqdGvnuVICMstZJmA,Dumpling Home,4.5,96,,"['pickup', 'delivery']",False,"Dim Sum, Noodles, Asian Fusion","dimsum, noodles, asianfusion",37.77571,-122.42257,US,CA,San Francisco,94102.0,"['pickup', 'delivery']",pickup and delivery
lJAGnYzku5zSaLnQ_T6_GQ,Brenda's French Soul Food,4.0,11058,$$,['delivery'],False,"Breakfast & Brunch, Southern, Cajun/Creole","breakfast_brunch, southern, cajun",37.7829016035273,-122.419043442957,US,CA,San Francisco,94102.0,['delivery'],only delivery
AMhxom9yhQjTkFRMTKk_IA,WingSlut,4.5,11,,,False,"Chicken Wings, Fast Food, Asian Fusion","chicken_wings, hotdogs, asianfusion",37.776775,-122.41641399999999,US,CA,San Francisco,94103.0,,
__V4jzP3SNrg3_n0QoDmcQ,Beyond Burma,4.0,98,$$,"['pickup', 'delivery', 'restaurant_reservation']",False,"Burmese, Indonesian, Noodles","burmese, indonesian, noodles",37.78784,-122.41356499999999,US,CA,San Francisco,94109.0,"['restaurant_reservation', 'pickup', 'delivery']",pickup and delivery
lbZj8kCKlfZm3BmvPxzXvA,ChiliCali,5.0,18,,,False,"Pop-Up Restaurants, Caterers, Indonesian","popuprestaurants, catering, indonesian",37.7770186,-122.416524,US,CA,San Francisco,94103.0,,
XVPiXV_TPivnr9szB5kc-A,Birdsong,4.5,274,$$$$,,False,American (New),newamerican,37.7793175,-122.41052350000001,US,CA,San Francisco,94103.0,,
d11DpeZN_2CBkaKGkEsKsw,HoM Korean Kitchen,4.0,62,,"['pickup', 'delivery']",False,Korean,korean,37.78095,-122.41453,US,CA,San Francisco,94102.0,"['pickup', 'delivery']",pickup and delivery
Edjd2Z4Tr1XYy6yq6jMM2w,Papito Hayes,4.0,748,$$,['delivery'],False,Mexican,mexican,37.776635,-122.423396,US,CA,San Francisco,94102.0,['delivery'],only delivery
wCf2GGyEOkaSFE0xCYpgOA,Hai Ky Noodles,4.5,980,$$,['delivery'],False,"Chinese, Vietnamese, Noodles","chinese, vietnamese, noodles",37.7840538024902,-122.417953491211,US,CA,San Francisco,94109.0,['delivery'],only delivery
pxhNGH0mL_WHMAU4m3tB8A,Arepas En Bici,4.5,35,,,False,"Venezuelan, Personal Chefs, Caterers","venezuelan, personalchefs, catering",37.787152,-122.41636100000001,US,CA,San Francisco,94109.0,,
H76UbTvcepqyQ7ZufDkJow,Akna,5.0,21,,,False,"Mexican, Pop-Up Restaurants","mexican, popuprestaurants",37.777726,-122.422991,US,CA,San Francisco,94102.0,,
dY0Mc_PHH6nLENvWmVtwxQ,Daeho Kalbijjim & Beef Soup,4.5,891,$$,"['pickup', 'delivery']",False,"Korean, Soup, Noodles","korean, soup, noodles",37.78601,-122.42858000000001,US,CA,San Francisco,94115.0,"['pickup', 'delivery']",pickup and delivery
iyo3pjuRb7mTpaDwXnAzuQ,Square Pie Guys,4.5,351,$$,"['pickup', 'delivery']",False,Pizza,pizza,37.779478999999995,-122.4103136,US,CA,San Francisco,94103.0,"['pickup', 'delivery']",pickup and delivery
